YEAR,UPC,DOLLARS,UNITS
2011,00-02-41262-28422,1101.28,1116
2011,00-01-28400-08358,1101.24,276
2011,00-01-11594-40401,1100.86,550
2012,06-01-96200-00150,1098.46,354
2011,00-01-70012-13660,1097.08,511
2012,00-01-28400-09983,1096.69,544
2012,00-01-28400-02813,1096.06,1044
2011,00-03-41780-00341,1095.34,3308
2011,00-03-30047-80002,1094.85,620
2011,00-01-48564-00122,1094.84,952
2012,00-01-37000-23015,1094.48,619
2012,88-01-99998-86374,1093.49,551
2011,00-01-77507-06190,1092.54,316
2012,00-03-41262-27189,1091.91,944
2012,00-03-15839-00550,1090.48,342
2012,00-02-28400-09986,1090.37,544
2011,88-01-99998-84914,1087.8899999999999,433
2012,00-01-16000-43187,1086.32,1001
2012,07-01-28229-67894,1085.93,257
2012,00-01-77581-11124,1085.3700000000001,363
2011,00-06-72600-00085,1084.97,1068
2011,00-01-83791-52015,1084.46,1094
2012,08-01-99788-00517,1082.6599999999999,184
2012,08-01-99788-00516,1082.17,183
2012,07-01-24923-45100,1081.85,265
2011,00-01-72600-00367,1081.75,397
2012,01-01-80999-00016,1077.45,315
2011,08-01-54137-77777,1074.77,270
2012,00-01-70110-05116,1071.43,307
2011,07-02-28229-01323,1067.5,332
2012,06-01-81170-00365,1066.96,288
2012,00-03-41780-00016,1065.6100000000001,428
2011,06-01-81170-00100,1064.67,440
2011,07-01-57645-00870,1064.08,400
2011,00-01-53852-00440,1063.65,463
2012,00-04-77975-02234,1063.33,967
2011,06-01-47671-00010,1062.8600000000001,214
2011,00-01-73497-10514,1061.62,906
2012,08-01-53762-00205,1060.92,458
2011,88-04-99998-10136,1059.66,474
2011,00-03-28400-03332,1057.9,271
2012,00-01-83791-01004,1057.32,1188
2011,00-01-32355-00106,1056.48,352
2011,00-01-11152-14596,1049.88,352
2012,00-02-41780-01112,1049.73,3181
2012,00-01-28400-07054,1048.17,1178
2012,07-01-28229-01466,1047.58,728
2012,00-02-72600-00172,1046.43,1057
2012,00-01-77975-08664,1045.3700000000001,173
2011,00-01-84114-10597,1043.24,387
2012,00-01-16000-44275,1043.23,407
2011,08-01-91803-00193,1042.51,468
2012,08-01-91803-00170,1041.19,376
2011,00-01-70412-13610,1039.74,806
2011,00-01-23637-42709,1038.71,400
2012,00-01-93213-10201,1035.5700000000002,313
2012,08-01-29515-30210,1035.56,314
2012,00-01-77975-08972,1035.54,1046
2011,00-02-73497-11187,1031.01,812
2011,88-04-99998-10249,1028.99,459
2012,00-02-28400-07876,1028.96,944
2011,00-01-83791-55015,1028.06,511
2011,08-01-50668-00046,1027.31,869
2011,00-01-41331-04936,1026.79,633
2011,00-01-77079-00811,1024.65,1035
2011,00-01-14809-10703,1024.43,301
2012,08-01-43571-00414,1022.99,311
2011,00-01-85836-07005,1020.84,1031
2012,01-01-80999-00014,1020.83,290
2012,00-01-20685-00024,1019.1,310
2012,00-03-41780-00341,1017.3100000000001,3083
2012,00-03-41262-27112,1012.5,2025
2012,00-01-77975-08889,1011.0,337
2012,08-01-16512-01031,1010.74,126
2011,00-01-77817-16575,1009.91,1021
2012,00-01-30684-01412,1009.9,840
2012,88-01-99998-85290,1009.47,253
2011,00-03-27393-00913,1009.0300000000001,352
2011,00-05-41780-00385,1008.29,278
2011,00-01-74323-06391,1008.05,842
2012,00-01-28400-07790,1007.39,215
2011,06-01-81170-00303,1006.01,392
2011,00-01-11152-14595,1005.96,208
2012,88-01-99998-86056,1005.14,520
2011,08-01-56435-00121,1005.07,302
2012,00-05-41780-00201,1002.21,3037
2012,00-01-30047-20008,1001.42,448
2011,00-01-41262-28216,999.71,1026
2012,08-01-91552-00204,999.0600000000001,293
2011,00-05-41780-00201,998.25,3025
2011,08-01-54615-00203,998.21,129
2011,00-01-32797-00672,996.0,3984
2012,00-01-28400-06713,995.2,2025
2011,00-01-27331-00073,994.88,233
2012,06-01-81170-00303,994.84,428
2011,00-02-41780-00228,992.3,370
2012,00-01-93213-10301,990.7800000000001,312
2012,00-01-72700-05462,990.35,565
2012,00-01-37000-84565,989.61,522
2012,00-01-28400-02503,989.41,317
2012,00-01-41780-00224,988.63,317
2012,00-01-16000-19333,988.48,528
2012,07-02-28229-67897,987.63,227
2011,00-01-37000-18521,987.03,997
2011,06-01-34129-54496,986.04,996
2012,00-01-41780-01113,985.5,1314
2011,00-01-77817-23283,984.76,2956
2011,00-01-77817-25300,984.6899999999999,2948
2012,08-01-91056-00077,982.98,76
2012,88-01-99998-86080,980.8199999999999,498
2011,08-02-59379-00107,980.72,328
2011,00-01-72600-01532,980.2,328
2012,08-01-99788-00518,979.78,172
2012,07-01-11381-30878,978.35,185
2011,00-01-72700-05462,977.99,527
2012,00-02-41780-00922,977.8100000000001,2963
2011,00-01-84114-11446,977.8,345
2012,06-01-35992-06115,977.46,396
2011,08-01-91056-00071,976.04,196
2011,00-01-83791-52002,976.02,985
2011,08-01-52772-00108,975.1800000000001,420
2012,08-01-43571-00193,973.51,268
2012,00-01-41780-00310,972.9399999999999,816
2011,08-01-50668-00045,972.88,812
2011,00-03-28400-00943,971.46,357
2012,08-01-29515-30146,971.01,279
2012,06-01-81170-00301,969.27,403
2011,00-01-77544-08806,968.2900000000001,324
2011,00-01-72600-00482,968.22,978
2011,00-01-72600-00154,966.45,294
2011,00-01-28400-09747,965.51,959
2011,08-01-99711-00235,965.29,382
2012,00-01-74323-02751,963.9,405
2011,00-01-28400-04404,963.5,94
2012,88-01-99998-83654,963.45,456
2012,00-01-72600-00321,962.3000000000001,292
2011,00-01-41780-00310,961.45,807
2012,00-04-41262-28630,961.29,825
2012,00-05-72600-00789,961.17,142
2012,07-01-28028-01220,960.91,299
2011,07-01-55355-00830,960.7,322
2012,00-02-28400-09751,959.39,889
2011,00-02-41262-27731,959.0,1918
2012,00-01-37000-84566,958.25,505
2011,00-01-41780-00916,957.33,2901
2011,00-01-85836-06008,955.81,449
2011,00-01-00901-00003,954.73,570
2011,08-01-43571-00203,951.9,250
2011,00-03-28400-07859,951.85,924
2012,07-01-11381-31158,951.85,175
2012,88-01-99998-83916,948.4300000000001,407
2012,00-01-21908-81266,948.02,198
2011,00-06-85836-06002,945.76,485
2011,08-01-52772-00195,945.29,779
2011,00-02-77817-23298,945.23,938
2012,00-01-77975-08992,942.34,1885
2011,07-01-28229-01466,942.12,849
2011,08-01-52834-00202,941.86,258
2011,08-01-47938-00360,939.29,381
2011,07-01-05105-68833,939.03,97
2011,00-01-28400-07882,938.0,940
2011,08-01-53762-00201,937.95,341
2011,06-01-35992-04460,937.9,310
2012,00-01-41278-17703,937.14,434
2012,07-02-28229-67893,934.5600000000001,244
2011,00-02-28400-07325,934.5,1050
2011,00-01-41780-00078,934.2,368
2012,00-01-08982-00079,934.17,763
2011,08-01-16512-01004,933.45,155
2011,00-01-08982-00079,931.91,759
2012,06-01-60629-10021,931.34,216
2011,08-01-16979-01001,931.16,318
2011,00-04-72600-00966,931.05,943
2012,00-02-30047-53505,928.09,436
2011,00-01-84114-11635,926.67,333
2012,07-01-57528-00872,925.8199999999999,389
2011,00-01-83791-55002,925.4,458
2011,00-02-77975-08821,920.77,288
2011,88-04-99998-10181,920.45,627
2012,08-01-56651-00201,920.35,455
2011,00-01-28400-04006,917.25,3669
2011,00-01-28400-07889,915.52,908
2012,08-01-47938-00360,914.62,278
2011,88-01-99998-85948,912.96,303
2011,00-01-77817-13064,911.83,2733
2012,07-01-55355-00820,909.83,323
2012,00-03-41780-00191,909.82,2729
2011,00-01-28400-03462,908.35,875
2011,00-01-77817-11029,908.05,95
2011,00-01-16000-19333,906.89,436
2012,00-03-28400-07859,906.88,832
2012,00-03-28400-00987,905.7,327
2011,08-01-16979-01000,905.33,317
2011,00-01-82666-70061,904.03,365
2012,00-01-36593-03307,903.23,257
2012,00-03-83791-07010,902.03,450
2011,08-01-91552-00204,899.99,301
2011,00-01-84114-03370,899.61,743
2012,08-01-93652-00213,899.5500000000001,115
2011,88-01-99998-84459,899.1700000000001,333
2011,00-01-72600-00512,898.47,2615
2012,00-01-28400-02317,898.17,273
2011,00-03-52235-91711,896.0699999999999,243
2012,07-01-44999-00001,894.88,112
2012,07-01-82405-20002,894.87,163
2012,00-04-72600-00966,892.98,902
2012,07-03-54918-08102,891.91,271
2011,06-01-96200-00150,890.9,290
2012,07-02-10311-50812,889.58,282
2012,00-01-41780-01447,886.7,371
2012,00-02-41262-27731,885.0,1772
2011,06-01-69887-50584,884.27,293
2011,07-01-18122-83275,884.0899999999999,91
2011,88-04-99998-11630,883.14,246
2011,00-01-71169-87568,882.5,353
2012,00-01-77975-03406,882.33,266
2012,00-02-41262-27683,882.09,891
2011,00-02-72600-00485,881.42,457
2011,00-03-28400-03678,878.17,870
2012,08-01-50668-00041,876.56,682
2012,00-02-72600-00513,876.52,2545
2011,06-01-55852-00062,876.25,125
2012,00-01-79927-11011,876.0699999999999,323
2011,00-03-41780-00123,873.3100000000001,1178
2011,00-01-72600-00752,869.09,863
2012,00-01-84114-12392,865.14,236
2011,00-01-93213-10301,863.75,304
2011,00-02-16392-00903,862.44,271
2012,08-01-96111-00204,861.67,360
2011,00-02-71123-00025,860.44,869
2011,00-01-28558-12122,858.97,293
2012,00-01-11594-40401,858.68,432
2012,00-01-79927-08111,858.0,200
2011,07-01-11381-31158,856.62,168
2011,00-03-77975-02242,855.89,325
2011,06-01-81170-00120,855.52,363
2012,00-01-84114-11449,855.16,260
2011,88-05-99998-62323,854.8,660
2012,08-01-93652-00212,853.9,110
2011,07-01-28229-78941,851.53,191
2011,00-02-77975-02804,851.4,860
2011,00-01-15665-50270,848.84,323
2012,00-01-84114-11446,848.84,258
2011,08-01-93594-00203,848.63,1041
2011,00-01-41780-02305,845.3,462
2012,00-06-28400-00909,845.0,1690
2011,08-01-16979-01003,842.47,327
2011,00-01-76781-01621,841.89,211
2012,08-01-43571-00203,841.41,218
2011,00-02-41262-27683,841.4,857
2011,08-01-16512-01031,839.1600000000001,84
2011,00-01-90997-66020,839.0600000000001,346
2012,08-01-16512-01223,838.83,227
2012,07-02-24453-37120,837.5,335
2012,00-01-37000-18521,836.5500000000001,845
2011,00-02-41780-00120,836.44,281
2012,00-02-15839-00503,834.6700000000001,273
2012,00-03-84114-03300,832.82,709
2011,00-01-72600-00335,831.85,774
2012,00-01-76781-01621,831.01,199
2012,00-01-71169-87126,829.38,121
2011,07-01-28229-01301,828.5,730
2012,00-01-28558-12121,826.5400000000001,276
2012,00-02-84114-10006,826.5,333
2011,00-01-28400-04793,825.92,928
2012,07-02-28229-01301,821.9399999999999,561
2011,00-01-84114-10006,821.15,305
2011,00-01-53852-00220,821.13,365
2012,00-01-83791-52017,820.71,829
2011,00-04-72600-00682,819.96,786
2012,00-01-77544-16204,819.9,239
2012,00-03-15839-00841,819.32,268
2011,07-02-08163-95005,819.13,300
2011,00-01-20918-36411,816.0,408
2012,88-01-99998-85007,815.87,382
2012,00-01-77817-11029,814.96,84
2011,00-01-77581-11114,813.28,272
2011,00-01-41262-28348,812.24,437
2012,00-01-70012-13660,811.95,355
2011,88-04-99998-11628,811.34,226
2012,00-01-37000-18523,810.8100000000001,819
2012,00-01-28400-07867,809.8,800
2011,88-01-99998-84613,809.0,542
2012,00-01-15665-60412,808.9,288
2011,07-01-57645-00860,806.66,316
2011,00-01-45764-27126,805.98,202
2012,00-01-77817-15300,805.73,807
2012,00-02-70617-00062,803.49,331
2012,00-01-72600-00482,800.91,809
2012,00-01-77817-16850,800.0500000000001,454
2011,00-01-77789-11110,799.04,469
2011,00-02-15839-00503,798.85,261
2011,00-01-77817-24900,798.01,2385
2011,88-01-99998-84670,796.37,383
2011,00-02-41780-01276,796.18,452
2011,88-04-99998-11055,793.27,376
2011,07-01-55355-00501,791.0899999999999,311
2011,00-02-28400-02474,790.9,812
2012,00-01-84114-10707,790.78,242
2012,08-01-46548-07671,788.18,132
2012,00-01-83791-73001,787.65,885
2011,00-02-83791-02010,784.98,882
2012,00-02-41780-00195,782.33,788
2012,00-01-27393-00954,781.4499999999999,523
2012,00-01-13562-32050,780.4300000000001,277
2012,00-01-77581-11114,780.39,261
2011,06-01-09132-28764,779.0,779
2011,00-02-41780-00922,777.99,2355
2011,00-03-28400-02264,777.4,260
2011,88-04-99998-11057,776.61,418
2012,88-01-99998-84454,776.3100000000001,339
2012,00-01-84114-12381,774.89,298
2011,88-01-99998-83686,773.98,352
2012,07-01-28229-67899,770.97,173
2012,00-01-21908-81265,770.08,287
2012,00-01-83791-01002,769.85,865
2012,88-01-99998-85827,769.39,434
2011,00-04-72600-00489,769.34,401
2012,00-05-41262-28620,767.95,706
2012,00-04-72600-00001,765.27,773
2011,00-01-37000-18523,764.28,772
2011,00-03-83791-02003,764.23,857
2011,01-01-80999-00047,764.0400000000001,286
2011,00-01-41780-04207,762.28,286
2011,00-01-93213-10201,761.31,269
2011,88-04-99998-11484,761.22,153
2012,00-01-20685-00021,760.15,240
2012,00-01-64144-10236,758.81,537
2012,00-01-13562-30348,758.6,240
2012,00-01-72600-02896,758.46,282
2011,00-01-82666-73300,757.16,727
2011,88-04-99998-11359,757.01,384
2012,00-01-41780-02478,755.6,275
2012,00-04-41780-00319,755.01,763
2012,00-03-28400-08060,754.3,247
2011,00-02-72600-00172,753.75,762
2011,88-05-99998-13177,751.5600000000001,365
2011,06-01-81170-00110,750.91,315
2012,00-01-15839-00828,749.99,203
2012,00-01-76784-00410,747.98,1664
2011,08-01-53726-00200,747.5600000000001,492
2011,07-01-28229-01452,747.41,219
2011,08-01-50668-00082,746.74,315
2011,08-01-43571-00029,746.6800000000001,221
2012,00-02-72600-01454,746.46,754
2011,00-01-28400-02695,745.77,747
2012,08-03-96111-00201,745.29,728
2011,08-01-50668-00043,742.52,618
2012,06-01-60629-10031,740.9,166
2011,00-01-41262-28453,739.72,322
2011,08-01-54088-00106,739.52,225
2011,00-02-28400-09753,739.3100000000001,739
2012,88-01-99998-83646,739.0400000000001,256
2011,00-02-16000-17572,738.9,246
2011,00-01-77507-06189,738.8000000000001,215
2012,00-01-41262-28183,737.8,369
2011,00-01-77817-23627,736.5,271
2011,08-01-99788-00246,736.33,167
2012,88-01-99998-85806,736.29,332
2012,07-01-28229-01450,736.22,218
2012,00-02-77975-02804,735.57,743
2011,00-01-27393-00940,734.82,524
2012,00-01-48564-00122,733.93,606
2011,00-01-41780-01625,732.95,105
2012,08-01-50668-00044,732.35,585
2011,00-01-76784-00410,731.84,1477
2011,08-01-53762-00203,730.9,272
2011,00-04-28400-00977,729.35,244
2011,00-01-77079-00813,727.74,736
2012,07-01-90429-22952,726.88,112
2012,06-01-81170-00305,725.54,296
2011,00-01-77975-08214,725.4300000000001,188
2012,00-01-41262-28170,724.64,353
2011,08-01-53762-00205,724.52,272
2012,88-01-99998-83891,723.73,407
2012,00-03-41780-00198,723.4200000000001,267
2012,00-03-72600-00961,723.26,174
2012,00-01-28400-03675,722.89,550
2011,00-02-72600-00513,721.66,2085
2012,00-01-84114-11635,721.29,219
2012,00-04-72600-00061,720.72,732
2011,00-02-28400-08406,719.29,221
2012,00-01-45764-27125,718.2,180
2012,07-01-28229-01364,718.09,161
2011,00-05-41262-27042,717.01,635
2011,08-03-40762-04429,716.14,643
2012,00-01-73416-03534,715.63,235
2011,00-01-15665-50246,713.33,273
2011,00-01-28400-03902,712.2,170
2011,00-01-76784-00411,709.65,285
2011,07-01-57528-00110,709.25,309
2011,00-01-41780-01119,707.23,197
2011,08-01-29515-30758,706.2900000000001,181
2012,00-01-72600-08107,705.46,104
2012,00-01-70412-13610,703.05,545
2012,00-02-28400-03521,702.62,255
2012,00-01-00901-00005,701.8,314
2011,08-01-91803-00175,701.46,273
2011,08-01-99788-00376,701.34,166
2012,00-02-28400-00985,699.29,256
2012,00-02-28400-08071,697.19,641
2011,00-01-28400-07868,695.97,703
2011,00-02-73497-03698,695.62,314
2011,00-01-20918-36415,694.0,347
2012,00-01-11152-14596,693.0300000000001,197
2011,07-01-10311-07651,690.88,112
2012,00-01-72600-01940,690.49,256
2012,00-03-84114-00994,689.9399999999999,210
2011,00-02-46555-00029,688.9399999999999,266
2012,08-01-53522-00080,688.89,209
2012,00-01-83791-55016,687.54,335
2011,00-04-85836-06000,686.46,321
2011,00-01-10311-19608,686.25,175
2011,07-01-28229-78920,685.44,576
2012,00-03-24335-01412,685.22,228
2012,00-05-28400-00340,684.29,342
2012,00-07-41780-00185,683.79,684
2011,88-01-99998-85037,682.8599999999999,114
2011,07-01-28229-78940,681.75,147
2011,08-01-90444-00084,681.38,341
2012,07-01-18122-83275,679.32,68
2012,00-03-41780-00314,679.14,686
2011,88-01-99998-85288,678.35,455
2011,00-01-77817-23040,678.0600000000001,2030
2011,07-01-10342-56010,676.5600000000001,236
2011,00-02-28400-07971,676.02,648
2012,08-01-52772-00108,675.87,279
2011,00-01-71146-00014,675.72,338
2012,00-01-41780-00041,675.58,2046
2011,00-01-28400-08929,675.51,679
2012,00-01-30047-30002,675.48,1732
2011,00-02-72600-00463,675.29,702
2011,06-01-60629-10021,672.44,156
2011,08-01-16512-01034,670.88,112
2012,00-01-28400-02304,670.53,637
2012,00-01-90997-66410,670.08,732
2012,00-01-28400-04793,669.28,752
2012,00-01-76784-00490,667.0,1334
2011,00-02-41262-27175,666.92,684
2012,00-01-73497-10514,666.9,478
2012,00-02-77817-16090,665.9,1990
2011,00-01-28400-03689,665.87,635
2011,00-04-32797-00899,665.37,63
2011,88-05-99998-13211,663.84,331
2012,00-01-28400-07889,663.71,609
2012,08-01-29515-30758,663.08,172
2011,00-04-72600-00964,659.54,669
2012,00-01-84114-11273,658.44,546
2012,00-01-72600-01981,658.3100000000001,236
2011,08-01-16979-01002,657.89,309
2012,00-02-41262-27432,652.5,1305
2011,08-01-99788-00248,652.25,175
2011,08-01-98547-00183,651.83,207
2012,00-01-77817-16160,651.82,218
2011,00-03-41780-00077,646.9000000000001,160
2012,00-01-84114-11272,646.62,548
2012,00-02-41262-28182,645.06,670
2011,00-03-30047-53201,643.73,1561
2011,88-01-99998-84457,643.53,497
2012,00-01-72600-00512,642.16,1868
2012,00-01-64144-10631,639.86,214
2011,00-01-72600-01594,639.86,214
2011,00-01-83791-52017,637.8,644
2012,00-01-16000-19639,637.66,619
2011,06-04-89423-00103,637.56,1107
2011,08-01-99711-00236,637.5,255
2011,08-01-39451-00206,637.38,179
2011,08-01-53762-00209,637.34,234
2012,01-01-80999-00006,637.19,201
2011,00-01-64777-80052,635.58,214
2011,08-01-99788-00375,635.41,159
2012,00-01-77817-15310,635.16,637
2012,00-02-84114-10597,630.0,252
2011,00-02-41262-27433,629.45,1259
2011,00-04-41262-27415,629.37,604
2012,00-05-72600-00096,628.62,596
2012,00-01-72600-04105,627.66,634
2011,00-01-41262-28182,626.37,663
2012,00-04-72600-00597,626.11,249
2012,07-01-55355-00605,625.9300000000001,211
2011,00-01-78907-45031,624.65,488
2011,08-01-16412-01001,624.52,158
2011,07-01-28229-01387,624.47,213
2012,00-01-77544-00046,624.24,188
2011,00-01-77817-23583,623.27,1869
2012,06-01-55852-00062,623.22,78
2012,00-05-41262-27042,622.9,490
2012,06-01-19309-00020,622.87,313
2011,07-02-10311-50812,622.54,226
2012,00-01-21908-81267,622.16,134
2011,00-01-28400-00765,621.53,608
2011,72-01-90013-52100,620.59,271
2012,07-01-32494-00050,618.5,293
2011,00-01-28400-02304,617.6800000000001,622
2011,00-01-13964-05084,617.38,227
2012,00-01-77975-03404,617.24,177
2012,00-04-41780-00204,615.78,624
2012,00-01-13562-32016,615.08,142
2012,08-01-53762-00209,614.36,212
2011,00-02-41262-27432,614.0,1228
2011,00-03-73046-10095,613.86,599
2011,07-01-57528-00132,613.41,271
2012,00-01-27331-02057,613.35,178
2012,08-01-10697-01106,612.22,199
2012,00-03-77975-02242,612.13,223
2011,00-01-72600-01925,611.5699999999999,242
2011,00-01-28400-08755,611.4300000000001,687
2011,00-01-72600-02896,609.95,242
2011,08-01-04345-00420,609.93,307
2011,00-03-41262-27112,609.45,1219
2012,00-05-41262-27369,609.17,572
2011,00-01-28400-03476,608.83,577
2011,07-01-28229-78943,608.58,152
2011,00-01-41780-00041,606.57,1837
2011,88-01-99998-85290,606.4399999999999,152
2012,08-01-40762-04426,606.07,579
2012,00-01-83791-52016,605.17,612
2012,08-03-40762-04429,603.42,535
2011,88-04-99998-11056,603.1,298
2012,00-02-82666-70023,602.64,234
2011,08-01-50668-00044,601.36,534
2012,00-03-30047-80002,600.81,328
2012,00-02-28400-03720,600.7,458
2011,07-01-55355-00810,600.25,211
2011,06-01-47671-31012,599.79,121
2011,00-01-84114-11544,598.94,520
2011,08-01-29515-30065,598.61,179
2012,00-03-41780-00123,597.75,797
2011,08-01-56651-00201,597.55,302
2011,00-02-28400-03720,597.52,574
2011,00-01-73490-13084,597.45,458
2011,07-01-57528-00111,596.77,263
2012,00-01-27000-52323,595.63,208
2011,00-01-72600-00637,595.55,604
2012,00-02-76784-00258,594.88,352
2012,00-02-41262-27433,592.0,1184
2011,00-01-36593-03309,587.74,182
2011,00-01-72600-01214,587.07,593
2011,07-01-24923-20100,585.0400000000001,156
2011,00-01-41262-28357,584.54,442
2012,00-01-72700-05461,584.3,307
2012,00-05-41780-00017,583.85,130
2012,00-01-41780-00252,583.47,223
2012,08-01-43571-00029,583.25,167
2011,00-01-77975-08213,583.09,151
2011,08-01-29515-30717,582.43,265
2011,00-01-73046-10090,582.36,568
2012,08-01-56435-00121,582.19,185
2012,00-02-84114-11097,581.9,130
2012,00-01-36593-03309,579.34,166
2012,06-04-89423-00103,579.22,1004
2012,00-01-77079-00735,578.0699999999999,585
2012,08-01-52772-00114,577.92,568
2012,00-05-72600-00632,577.59,388
2012,00-05-28400-01229,576.89,471
2011,00-01-30047-51505,575.14,289
2012,08-01-93652-00209,574.85,75
2012,00-01-77817-11979,574.54,573
2012,00-01-28400-07882,574.09,531
2011,00-03-41780-00356,573.61,470
2012,00-01-72600-00335,572.74,515
2011,00-03-41780-00369,572.22,578
2012,08-01-50163-00400,571.74,186
2011,00-01-85836-07006,569.53,575
2012,00-01-77817-12685,568.85,1702
2011,07-01-56702-13156,568.78,256
2011,08-01-98992-00160,568.21,209
2012,88-01-99998-85001,567.09,250
2012,01-01-81972-00051,566.51,189
2012,07-01-28229-01370,566.38,122
2011,00-01-28400-09156,565.15,635
2012,00-01-24335-01410,564.85,95
2012,08-01-50163-00401,564.84,186
2012,00-01-77975-03402,564.8,170
2011,00-01-72600-01727,563.57,549
2011,00-01-16392-00702,563.31,289
2012,00-05-28400-01426,562.86,469
2012,00-03-30047-53201,562.5,1250
2011,00-01-77817-23498,561.4,1685
2012,00-01-79927-11041,560.43,207
2011,00-02-41331-04934,559.92,328
2012,00-01-78907-45031,559.53,457
2012,00-05-41780-00743,559.5,746
2012,00-01-72600-00162,559.38,557
2011,07-01-28229-78923,558.4,126
2011,00-01-15665-50280,558.16,221
2011,06-04-89423-00105,557.72,997
2011,00-02-76784-00258,557.7,330
2011,00-01-27393-00622,557.08,352
2011,00-01-84114-03070,555.97,193
2011,00-01-16392-00701,555.54,286
2011,00-01-30047-11224,553.8,1420
2012,00-01-32601-05560,553.0,553
2011,00-03-34700-48307,552.34,206
2011,00-04-72600-00789,552.21,79
2012,00-01-41780-40200,551.02,558
2011,00-01-83791-55014,549.4,269
2011,00-04-41780-00324,546.85,553
2012,00-01-32601-05562,546.8,547
2012,00-01-71146-00014,546.5699999999999,273
2012,07-01-11381-30881,545.09,91
2011,88-01-99998-84340,545.08,202
2012,00-06-72600-00094,544.0,499
2011,88-04-99998-09795,543.41,339
2012,08-01-91672-00006,542.76,499
2011,00-01-45764-27122,542.64,136
2012,00-01-74323-06391,542.14,423
2012,00-02-83791-01003,542.01,609
2011,00-02-74323-07833,541.98,452
2011,00-01-41200-09674,541.89,177
2012,07-01-57528-00884,541.44,423
2011,07-01-81138-73007,540.95,203
2012,00-01-82666-77700,538.94,476
2012,00-01-32601-05561,537.4,538
2011,08-01-43571-00193,536.58,142
2011,00-01-28400-08722,535.97,139
2011,00-01-73731-08403,534.61,219
2012,00-01-84114-11271,533.58,422
2011,00-01-30000-16090,532.89,191
2012,00-01-64144-10974,532.74,452
2011,00-01-28400-04747,532.7,267
2011,00-02-16000-19370,532.5,204
2011,00-01-83791-55004,531.76,242
2011,00-03-41262-27192,531.63,537
2011,07-02-08163-97205,531.16,224
2012,07-01-55355-00501,530.02,208
2011,00-05-41780-00325,529.96,504
2011,00-01-74323-03351,529.46,251
2011,88-04-99998-09660,529.4,139
2011,08-01-55564-00302,529.23,177
2012,00-09-43427-18103,528.97,160
2012,00-01-72600-00751,527.71,514
2011,07-01-28229-01395,527.31,189
2012,00-01-27393-00978,527.12,348
2012,00-03-41780-00105,527.12,525
2012,08-01-60333-00003,526.99,151
2012,00-02-41780-01356,526.3,429
2011,00-01-77544-16204,525.85,162
2011,00-01-73731-08201,525.62,148
2011,00-01-90997-66030,525.29,217
2012,00-01-28400-08315,524.7,130
2011,00-01-77817-16582,524.47,182
2011,00-01-73731-08101,523.72,143
2011,06-02-47671-00030,522.69,131
2011,88-04-99998-10247,522.14,220
2012,00-01-64144-10235,522.06,385
2011,00-01-72600-00575,521.84,1521
2011,00-07-28400-02233,520.26,174
2012,00-01-77817-24900,518.65,1552
2011,00-02-41780-00112,518.27,198
2012,07-01-57645-00830,516.99,206
2012,07-01-10069-00456,516.34,292
2012,00-01-76784-00411,516.15,215
2012,06-01-19309-00022,515.41,259
2011,00-01-83791-52016,515.24,520
2011,00-01-76784-00490,515.0,1030
2012,00-01-73731-08403,513.25,215
2012,00-05-28400-01010,511.65000000000003,200
2011,88-01-99998-85021,511.43,257
2011,06-01-70171-43233,510.72,213
2011,01-01-82363-00029,510.61,169
2011,07-01-24923-20300,510.3,140
2011,00-01-73416-03534,509.83,177
2011,00-01-77975-08687,509.8,239
2012,00-01-83791-55017,509.74,237
2012,07-02-55355-00508,509.16,147
2012,08-01-10697-01108,508.62,142
2011,08-01-40762-04426,507.91,410
2012,06-01-60629-10041,507.83000000000004,117
2012,08-01-10697-01110,507.59000000000003,143
2012,88-01-99998-85953,507.0,507
2012,00-01-45764-27126,506.73,127
2012,00-04-41262-27415,506.61,460
2012,88-01-99998-86376,506.19,141
2011,00-01-41262-27246,505.82,523
2011,07-01-08163-21105,505.58000000000004,232
2012,00-01-21908-81261,503.47,188
2012,00-01-84114-03333,503.32,421
2011,07-01-57528-00108,502.98,422
2011,08-01-92397-00004,502.88,212
2012,00-02-73497-03698,502.71000000000004,200
2012,00-03-28400-02264,502.32,168
2012,07-01-64218-60836,501.76,196
2012,00-01-21908-81241,500.48,157
2012,07-01-28028-02321,500.24,152
2012,00-02-28400-04606,500.18,562
2012,00-01-84114-03260,499.91,419
2011,00-01-72600-00401,498.96,1437
2012,00-05-41780-00325,497.92,378
2011,00-01-83791-55016,497.19,212
2011,07-01-11381-30881,497.17,83
2011,00-04-77975-02234,496.98,502
2012,00-03-72600-00622,495.89,1442
2011,00-01-85836-07003,493.58,498
2011,00-01-72600-10712,493.09999999999997,190
2012,06-01-04183-18020,493.0,170
2012,00-02-41262-28187,491.32,497
2011,08-01-53762-00207,491.06,189
2011,00-02-41262-28033,491.04,496
2011,00-02-30047-80022,489.58,285
2011,00-02-16000-16239,487.90999999999997,212
2012,00-05-72600-00964,487.08,492
2012,00-02-81084-00008,486.0,1555
2011,00-01-73731-08301,485.99,135
2012,00-02-16000-19370,485.83000000000004,166
2012,00-01-28400-09988,485.3,205
2011,00-01-28400-07875,485.1,490
2011,00-03-72600-00161,485.05,473
2011,88-01-99998-84698,484.38,162
2011,08-01-39451-00205,484.08,107
2012,00-03-72600-00161,483.79,485
2011,06-01-13008-71556,483.72,328
