YEAR,UPC,DOLLARS,UNITS
2012,00-01-77975-08215,73328.77,19098
2012,88-01-99998-85948,73299.73,21878
2011,00-01-28400-09837,73262.33,23672
2011,00-01-41262-28144,73084.73,30976
2012,00-02-41262-28143,72660.75,31043
2011,00-01-28400-03492,72437.09,37310
2012,00-02-41262-28444,72101.41,34966
2012,00-01-77975-08755,72053.76,11673
2012,00-01-28400-03916,72028.25,23822
2011,00-01-28400-03984,72021.64,28597
2011,88-04-99998-11530,71716.33,21684
2011,00-01-28400-08411,71685.85,26203
2011,00-01-28400-08293,71511.04000000001,24085
2012,00-01-82666-70020,70971.15,27647
2012,08-01-93594-00209,70900.51,37385
2012,00-01-28400-00227,70584.84,35474
2012,00-02-15665-22030,70138.7,25156
2012,00-01-28400-02215,70083.09,21975
2012,08-01-93594-00210,70067.7,37121
2012,00-02-41262-28431,70020.51,35476
2012,08-01-93594-00211,69661.54,36506
2011,00-01-41262-27304,69262.62,34744
2012,00-02-28400-01179,69254.6,24342
2012,00-02-77975-08824,69141.32,21394
2011,00-01-37000-20917,68911.7,20358
2012,00-01-20685-00028,68785.11,21356
2011,00-01-77975-08216,68708.13,17778
2012,00-02-41262-28430,68029.8,34498
2012,00-02-77817-12776,67843.53,21182
2011,00-01-28400-03416,67815.66,27615
2011,00-01-28400-05179,67729.23,16985
2012,00-06-28400-00954,67399.1,24447
2011,00-01-15665-77046,67210.24,10763
2012,00-02-77975-08521,67000.45,18260
2012,00-01-84114-10812,66677.03,21499
2012,00-05-41780-00266,66675.59,24388
2012,00-01-37000-23006,66496.09,38177
2011,00-01-77975-08161,66494.42,22662
2012,00-01-41780-00246,65557.46,24152
2011,00-03-28400-01371,65257.61,33761
2012,00-01-15839-02020,65170.86,14210
2012,00-01-77975-08216,64873.89,16963
2011,00-01-28400-03331,64842.13,19082
2011,88-04-99998-10480,64505.87,24748
2012,00-01-37000-20917,64457.41,18676
2012,88-01-99998-84914,64258.96,24753
2011,00-01-28400-07190,64088.28,16952
2011,00-01-41780-00246,64051.76,24533
2011,00-02-72600-00867,63966.22,9385
2011,00-02-28400-08394,63673.05,23501
2012,08-01-52772-00125,63575.32,22233
2012,00-01-37000-23005,63573.26,37671
2011,00-01-41780-01276,62470.27,35604
2011,00-01-15665-25007,62398.11,16545
2012,00-01-28400-07134,61771.38,15687
2012,00-01-28400-05181,61769.99,15512
2011,00-02-28400-08446,61617.26,20662
2012,00-01-28400-00956,61463.7,22504
2012,00-01-41262-28162,61174.82,30777
2011,00-03-28400-07165,61031.08,15757
2011,00-01-77817-12776,60938.99,17800
2011,00-01-77975-02509,60780.590000000004,21702
2011,00-04-28400-01234,60603.01,22500
2011,00-01-16000-28370,60529.24,22749
2011,00-01-77975-02499,60366.18,24071
2012,00-01-37600-35455,60085.17,29690
2011,00-01-41262-28146,59979.26,25729
2011,00-02-28400-03345,59924.84,22195
2011,00-02-72600-00184,59832.89,18384
2012,00-02-28400-08446,59419.67,19713
2012,00-02-41780-00249,59237.08,9387
2011,00-03-41780-00291,58814.46,22541
2011,00-01-28400-08351,58764.07,15584
2012,00-01-16000-15840,58631.68,24006
2012,00-01-16000-28370,58301.93,22143
2012,00-01-28400-00843,58211.48,18300
2012,00-01-37000-18132,58095.45,54139
2012,00-02-77975-08821,57792.58,17908
2011,00-02-41262-28424,57563.61,31372
2011,00-03-15839-00001,57476.58,19243
2011,00-04-77817-15700,57370.55,22772
2011,00-01-28400-08414,57344.32,20826
2011,00-02-41780-00249,57199.64,9266
2011,00-01-82666-70050,57154.6,23211
2012,08-01-50251-00400,56997.02,16349
2011,00-01-41262-28147,56650.6,23665
2011,00-01-37000-23006,56610.51,32145
2011,00-01-28400-03327,56598.35,18391
2012,00-01-77975-02499,56512.88,21371
2011,00-01-28400-02796,56480.6,57695
2011,00-01-28400-08304,55893.63,12868
2011,00-01-72600-00524,55872.77,24757
2011,00-01-77817-15970,55750.11,19221
2012,06-01-78523-04006,55678.78,8302
2011,00-02-41262-28444,55667.17,26592
2011,00-01-77975-08162,55549.56,18848
2012,00-01-77948-00902,55479.21,28719
2012,00-01-77975-08788,55381.1,21181
2012,00-01-28400-03549,55360.9,17665
2011,00-02-41262-28148,55239.79,23241
2011,00-01-28400-04024,55185.78,14009
2012,00-02-41262-28432,55139.81,27943
2012,00-01-28400-08297,55112.95,13941
2011,00-01-77975-08788,55084.41,20603
2012,00-02-41262-28434,55024.48,27844
2012,00-01-77975-08731,54925.74,17623
2011,00-01-28400-03922,54874.450000000004,18295
2012,00-01-77817-16370,54846.4,18255
2011,07-02-28229-12347,54833.53,13179
2011,00-01-77975-08824,54736.090000000004,16814
2011,00-01-28400-07121,54678.58,18512
2011,00-03-28400-07164,54578.13,14064
2011,00-01-77975-08217,54272.29,14077
2012,00-01-77975-08217,54253.82,14181
2011,00-01-20685-00028,54060.69,18218
2011,00-01-15665-52080,54012.23,10674
2012,07-02-28229-12347,53859.72,12675
2012,00-01-28400-04024,53551.61,12958
2012,07-02-55355-00502,53487.23,15164
2011,00-01-44000-02373,53284.83,22406
2011,00-01-72600-01864,53226.06,6928
2012,00-01-77975-08161,52993.76,17852
2011,00-01-28400-07132,52983.64,13680
2011,00-01-16000-15840,52837.74,22642
2012,00-02-41780-01276,52796.409999999996,28115
2012,00-04-28400-00228,52532.0,26494
2011,00-02-15665-60915,52434.58,19189
2012,00-02-41262-28144,52163.82,22154
2012,00-01-28400-07190,52107.61,13800
2012,00-01-72600-00524,52050.54,19736
2012,00-01-24100-49384,51643.48,17392
2012,00-01-71146-00245,51415.69,25035
2011,00-06-41780-00006,51216.65,49479
2012,00-03-41780-00291,51164.8,18931
2012,00-01-77975-02509,50974.36,18943
2011,00-01-28400-07881,50917.98,50373
2011,00-01-84114-10814,50849.53,16160
2012,88-01-99998-83678,50794.02,23355
2012,00-01-28400-02819,50632.62,42488
2012,00-02-72600-00184,50590.67,15471
2011,00-01-77975-08787,50524.91,19104
2011,00-01-37000-23041,50472.08,28655
2011,00-01-37000-23005,50386.69,29226
2012,00-01-37000-23041,50233.4,28947
2012,00-01-77817-15970,49591.590000000004,15742
2011,00-01-77975-08821,49245.74,15164
2011,00-02-64144-10690,48958.36,42415
2012,00-03-15839-00001,48887.84,17134
2011,00-04-41780-00211,48841.91,19112
2011,00-01-82666-70070,48701.82,20071
2012,00-01-84114-10814,48519.71,15361
2011,00-02-28400-05880,48466.15,12298
2011,88-04-99998-09785,48460.22,21262
2012,08-01-43571-00080,48379.52,13583
2012,00-04-41780-00211,48341.26,18253
2011,00-01-28400-03952,48296.69,16224
2011,06-01-78523-04006,48001.4,7540
2012,00-02-15665-60915,47796.7,17162
2012,00-01-15839-02026,47766.66,10553
2011,00-03-15665-22030,47656.51,17102
2012,00-02-41262-28426,47506.12,24219
2011,00-01-28400-04768,47273.91,18586
2011,00-01-15839-02020,47222.13,10343
2011,00-01-24100-49384,47070.95,16144
2012,00-01-28400-00842,46900.08,14689
2012,00-01-82666-70050,46840.49,18185
2012,00-06-41780-00006,46821.67,46357
2012,00-01-77975-08787,46729.17,18009
2012,88-01-99998-84459,46609.6,16720
2012,00-01-28400-05179,46509.9,11713
2011,00-02-28400-03399,46351.99,10211
2011,00-02-28400-04099,46109.21,6916
2011,00-01-28400-03397,46043.05,13083
2011,00-01-41262-28162,45993.81,23147
2012,00-01-77975-08162,45636.55,15332
2012,00-02-28400-05880,45597.07,10939
2012,00-03-28400-02186,45394.68,16328
2011,00-02-28400-08322,45184.29,17863
2011,00-01-77975-02967,44864.49,13253
2012,00-01-77817-15980,44814.32,14965
2011,00-03-41780-00386,44636.79,17113
2011,00-02-28400-05660,44529.93,18549
2011,07-01-24923-10100,44502.22,11182
2012,00-01-28400-00358,44498.18,11937
2011,00-02-44000-00609,44495.35,15218
2011,00-02-41780-00231,44475.55,17364
2011,00-01-41262-28150,44460.92,19637
2012,00-02-41262-28147,44422.5,18465
2011,00-01-72600-01455,44233.3,13562
2011,00-01-77975-02968,43984.48,12996
2011,00-01-16000-15136,43787.09,18181
2011,00-05-41780-00065,43730.32,42789
2011,00-01-16000-15950,43691.49,13151
2011,00-01-41262-28151,43689.67,19950
2011,00-05-41780-00085,43591.64,42119
2012,07-01-55355-00115,43571.27,16671
2011,00-02-41262-28149,43347.9,18078
2011,00-01-77975-08694,43254.5,11220
2012,00-01-77975-02967,43238.98,13205
2011,00-02-28400-03220,43233.74,16516
2011,00-01-28400-01375,42994.43,22204
2011,00-01-71146-00245,42941.2,22925
2011,00-04-41780-00384,42889.86,17247
2011,00-01-28400-08308,42865.8,9566
2011,00-01-24100-35193,42794.15,16169
2012,00-01-82666-70070,42477.41,16687
2011,00-01-30684-01705,42393.23,33918
2012,00-01-77975-08694,42272.270000000004,11098
2011,00-02-77817-23376,42083.09,16207
2012,00-01-28400-03327,42003.340000000004,13349
2012,00-01-77975-02968,41999.700000000004,12830
2011,00-01-41780-01169,41698.94,12261
2012,00-05-41780-00065,41619.98,41446
2011,88-04-99998-10145,41557.05,15467
2011,00-01-20685-08577,41513.6,13608
2011,88-04-99998-09787,41509.91,18159
2011,00-03-28400-07858,41496.54,40572
2012,88-01-99998-83686,41478.85,18814
2012,08-01-54137-00021,41476.9,8010
2011,00-04-41780-00241,41434.99,16050
2011,00-02-41262-28427,41411.69,22044
2011,00-02-41780-01345,41332.76,20242
2012,00-03-77817-23376,41220.99,13808
2011,00-02-41262-28433,41200.41,21922
2011,00-03-28400-03874,41154.03,14964
2012,88-01-99998-83933,40878.95,20613
2012,00-01-16000-16490,40652.92,16280
2012,00-05-41780-00085,40451.27,40047
2012,00-04-41780-00241,40438.26,15164
2011,00-01-16000-16490,40429.07,16789
2012,00-02-41262-28146,40244.1,17203
2012,88-01-99998-84670,40234.159999999996,19722
2012,08-01-43571-00032,40111.41,11599
2012,00-01-30684-01705,40109.55,31115
2012,00-01-15665-77125,40086.33,6907
2012,00-02-28400-08406,39915.47,12456
2011,00-04-41780-00261,39774.45,14848
2011,00-01-28400-07166,39741.42,11195
2012,00-01-16000-15950,39691.2,11120
2011,00-01-28400-02811,39650.89,40461
2011,00-01-84114-10853,39598.25,12962
2011,00-01-15839-02026,39583.97,8817
2012,00-01-41780-01169,39445.81,11865
2011,00-01-37000-18132,39431.31,36764
2011,00-01-28400-08397,39428.33,14539
2011,00-02-41262-28141,39310.98,16250
2012,00-01-16000-15136,39305.05,15659
2012,00-03-28400-03874,39014.76,14582
2012,07-01-28229-34566,38990.36,10371
2012,07-01-24923-10100,38969.08,9793
2011,00-01-28400-06764,38784.16,16131
2012,00-01-24100-35193,38776.21,14122
2011,06-01-78523-04010,38767.56,6224
2012,06-01-78523-04010,38575.96,5874
2012,00-02-28400-05660,38509.64,15788
2012,00-01-28400-03925,38362.23,12944
2011,00-02-41262-28429,38293.22,20390
2012,00-02-72600-01864,38270.43,4405
2011,08-01-43571-00080,38123.04,10597
2012,07-01-81138-71012,38011.43,14420
2012,00-04-41780-00187,37983.8,14404
2011,00-01-77817-15980,37964.84,14069
2012,00-01-28400-02811,37911.65,35706
2011,88-04-99998-10570,37718.88,26982
2012,00-01-28400-05011,37616.08,16464
2012,00-01-37000-18135,37533.36,35428
2011,00-01-37000-21148,37410.72,13000
2011,00-01-41262-28424,37309.26,18638
2011,08-01-43571-00032,37269.15,10835
